# SlipX generated track: a circuit. One 26 m straight, a sweeper,
# a bus-stop chicane, a hairpin and a return elbow; 100.891 m a lap.
# NOT a real venue. Generated by examples/tracks/make_tracks.py.
# Apache-2.0, like the rest of this repository.
#
# Four columns, the form used by the TUM racetrack database and the
# F1TENTH set derived from it. Arc length is derived by the loader,
# not read, so there is no column for it. The width varies along
# the lap: wide into the braking zones, pinched at the chicane.
# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,1.000000,1.000000
0.049995,0.000000,1.000000,1.000000
0.099991,0.000000,1.000000,1.000000
0.149986,0.000000,1.000000,1.000000
0.199982,0.000000,1.000000,1.000000
0.249977,0.000000,1.000000,1.000000
0.299972,0.000000,1.000000,1.000000
0.349968,0.000000,1.000000,1.000000
0.399963,0.000000,1.000000,1.000000
0.449959,0.000000,1.000000,1.000000
0.499954,0.000000,1.000000,1.000000
0.549949,0.000000,1.000000,1.000000
0.599945,0.000000,1.000000,1.000000
0.649940,0.000000,1.000000,1.000000
0.699936,0.000000,1.000000,1.000000
0.749931,0.000000,1.000000,1.000000
0.799926,0.000000,1.000000,1.000000
0.849922,0.000000,1.000000,1.000000
0.899917,0.000000,1.000000,1.000000
0.949912,0.000000,1.000000,1.000000
0.999908,0.000000,1.000000,1.000000
1.049903,0.000000,1.000000,1.000000
1.099899,0.000000,1.000000,1.000000
1.149894,0.000000,1.000000,1.000000
1.199889,0.000000,1.000000,1.000000
1.249885,0.000000,1.000000,1.000000
1.299880,0.000000,1.000000,1.000000
1.349876,0.000000,1.000000,1.000000
1.399871,0.000000,1.000000,1.000000
1.449866,0.000000,1.000000,1.000000
1.499862,0.000000,1.000000,1.000000
1.549857,0.000000,1.000000,1.000000
1.599853,0.000000,1.000000,1.000000
1.649848,0.000000,1.000000,1.000000
1.699843,0.000000,1.000000,1.000000
1.749839,0.000000,1.000000,1.000000
1.799834,0.000000,1.000000,1.000000
1.849830,0.000000,1.000000,1.000000
1.899825,0.000000,1.000000,1.000000
1.949820,0.000000,1.000000,1.000000
1.999816,0.000000,1.000000,1.000000
2.049811,0.000000,1.000000,1.000000
2.099807,0.000000,1.000000,1.000000
2.149802,0.000000,1.000000,1.000000
2.199797,0.000000,1.000000,1.000000
2.249793,0.000000,1.000000,1.000000
2.299788,0.000000,1.000000,1.000000
2.349784,0.000000,1.000000,1.000000
2.399779,0.000000,1.000000,1.000000
2.449774,0.000000,1.000000,1.000000
2.499770,0.000000,1.000000,1.000000
2.549765,0.000000,1.000000,1.000000
2.599761,0.000000,1.000000,1.000000
2.649756,0.000000,1.000000,1.000000
2.699751,0.000000,1.000000,1.000000
2.749747,0.000000,1.000000,1.000000
2.799742,0.000000,1.000000,1.000000
2.849737,0.000000,1.000000,1.000000
2.899733,0.000000,1.000000,1.000000
2.949728,0.000000,1.000000,1.000000
2.999724,0.000000,1.000000,1.000000
3.049719,0.000000,1.000000,1.000000
3.099714,0.000000,1.000000,1.000000
3.149710,0.000000,1.000000,1.000000
3.199705,0.000000,1.000000,1.000000
3.249701,0.000000,1.000000,1.000000
3.299696,0.000000,1.000000,1.000000
3.349691,0.000000,1.000000,1.000000
3.399687,0.000000,1.000000,1.000000
3.449682,0.000000,1.000000,1.000000
3.499678,0.000000,1.000000,1.000000
3.549673,0.000000,1.000000,1.000000
3.599668,0.000000,1.000000,1.000000
3.649664,0.000000,1.000000,1.000000
3.699659,0.000000,1.000000,1.000000
3.749655,0.000000,1.000000,1.000000
3.799650,0.000000,1.000000,1.000000
3.849645,0.000000,1.000000,1.000000
3.899641,0.000000,1.000000,1.000000
3.949636,0.000000,1.000000,1.000000
3.999632,0.000000,1.000000,1.000000
4.049627,0.000000,1.000000,1.000000
4.099622,0.000000,1.000000,1.000000
4.149618,0.000000,1.000000,1.000000
4.199613,0.000000,1.000000,1.000000
4.249609,0.000000,1.000000,1.000000
4.299604,0.000000,1.000000,1.000000
4.349599,0.000000,1.000000,1.000000
4.399595,0.000000,1.000000,1.000000
4.449590,0.000000,1.000000,1.000000
4.499586,0.000000,1.000000,1.000000
4.549581,0.000000,1.000000,1.000000
4.599576,0.000000,1.000000,1.000000
4.649572,0.000000,1.000000,1.000000
4.699567,0.000000,1.000000,1.000000
4.749562,0.000000,1.000000,1.000000
4.799558,0.000000,1.000000,1.000000
4.849553,0.000000,1.000000,1.000000
4.899549,0.000000,1.000000,1.000000
4.949544,0.000000,1.000000,1.000000
4.999539,0.000000,1.000000,1.000000
5.049535,0.000000,1.000000,1.000000
5.099530,0.000000,1.000000,1.000000
5.149526,0.000000,1.000000,1.000000
5.199521,0.000000,1.000000,1.000000
5.249516,0.000000,1.000000,1.000000
5.299512,0.000000,1.000000,1.000000
5.349507,0.000000,1.000000,1.000000
5.399503,0.000000,1.000000,1.000000
5.449498,0.000000,1.000000,1.000000
5.499493,0.000000,1.000000,1.000000
5.549489,0.000000,1.000000,1.000000
5.599484,0.000000,1.000000,1.000000
5.649480,0.000000,1.000000,1.000000
5.699475,0.000000,1.000000,1.000000
5.749470,0.000000,1.000000,1.000000
5.799466,0.000000,1.000000,1.000000
5.849461,0.000000,1.000000,1.000000
5.899457,0.000000,1.000000,1.000000
5.949452,0.000000,1.000000,1.000000
5.999447,0.000000,1.000000,1.000000
6.049443,0.000000,1.000000,1.000000
6.099438,0.000000,1.000000,1.000000
6.149434,0.000000,1.000000,1.000000
6.199429,0.000000,1.000000,1.000000
6.249424,0.000000,1.000000,1.000000
6.299420,0.000000,1.000000,1.000000
6.349415,0.000000,1.000000,1.000000
6.399410,0.000000,1.000000,1.000000
6.449406,0.000000,1.000000,1.000000
6.499401,0.000000,1.000000,1.000000
6.549397,0.000000,1.000000,1.000000
6.599392,0.000000,1.000000,1.000000
6.649387,0.000000,1.000000,1.000000
6.699383,0.000000,1.000000,1.000000
6.749378,0.000000,1.000000,1.000000
6.799374,0.000000,1.000000,1.000000
6.849369,0.000000,1.000000,1.000000
6.899364,0.000000,1.000000,1.000000
6.949360,0.000000,1.000000,1.000000
6.999355,0.000000,1.000000,1.000000
7.049351,0.000000,1.000000,1.000000
7.099346,0.000000,1.000000,1.000000
7.149341,0.000000,1.000000,1.000000
7.199337,0.000000,1.000000,1.000000
7.249332,0.000000,1.000000,1.000000
7.299328,0.000000,1.000000,1.000000
7.349323,0.000000,1.000000,1.000000
7.399318,0.000000,1.000000,1.000000
7.449314,0.000000,1.000000,1.000000
7.499309,0.000000,1.000000,1.000000
7.549305,0.000000,1.000000,1.000000
7.599300,0.000000,1.000000,1.000000
7.649295,0.000000,1.000000,1.000000
7.699291,0.000000,1.000000,1.000000
7.749286,0.000000,1.000000,1.000000
7.799282,0.000000,1.000000,1.000000
7.849277,0.000000,1.000000,1.000000
7.899272,0.000000,1.000000,1.000000
7.949268,0.000000,1.000000,1.000000
7.999263,0.000000,1.000000,1.000000
8.049259,0.000000,1.000000,1.000000
8.099254,0.000000,1.000000,1.000000
8.149249,0.000000,1.000000,1.000000
8.199245,0.000000,1.000000,1.000000
8.249240,0.000000,1.000000,1.000000
8.299235,0.000000,1.000000,1.000000
8.349231,0.000000,1.000000,1.000000
8.399226,0.000000,1.000000,1.000000
8.449222,0.000000,1.000000,1.000000
8.499217,0.000000,1.000000,1.000000
8.549212,0.000000,1.000000,1.000000
8.599208,0.000000,1.000000,1.000000
8.649203,0.000000,1.000000,1.000000
8.699199,0.000000,1.000000,1.000000
8.749194,0.000000,1.000000,1.000000
8.799189,0.000000,1.000000,1.000000
8.849185,0.000000,1.000000,1.000000
8.899180,0.000000,1.000000,1.000000
8.949176,0.000000,1.000000,1.000000
8.999171,0.000000,1.000000,1.000000
9.049166,0.000000,1.000000,1.000000
9.099162,0.000000,1.000000,1.000000
9.149157,0.000000,1.000000,1.000000
9.199153,0.000000,1.000000,1.000000
9.249148,0.000000,1.000000,1.000000
9.299143,0.000000,1.000000,1.000000
9.349139,0.000000,1.000000,1.000000
9.399134,0.000000,1.000000,1.000000
9.449130,0.000000,1.000000,1.000000
9.499125,0.000000,1.000000,1.000000
9.549120,0.000000,1.000000,1.000000
9.599116,0.000000,1.000000,1.000000
9.649111,0.000000,1.000000,1.000000
9.699107,0.000000,1.000000,1.000000
9.749102,0.000000,1.000000,1.000000
9.799097,0.000000,1.000000,1.000000
9.849093,0.000000,1.000000,1.000000
9.899088,0.000000,1.000000,1.000000
9.949083,0.000000,1.000000,1.000000
9.999079,0.000000,1.000000,1.000000
10.049074,0.000000,1.000000,1.000000
10.099070,0.000000,1.000000,1.000000
10.149065,0.000000,1.000000,1.000000
10.199060,0.000000,1.000000,1.000000
10.249056,0.000000,1.000000,1.000000
10.299051,0.000000,1.000000,1.000000
10.349047,0.000000,1.000000,1.000000
10.399042,0.000000,1.000000,1.000000
10.449037,0.000000,1.000000,1.000000
10.499033,0.000000,1.000000,1.000000
10.549028,0.000000,1.000000,1.000000
10.599024,0.000000,1.000000,1.000000
10.649019,0.000000,1.000000,1.000000
10.699014,0.000000,1.000000,1.000000
10.749010,0.000000,1.000000,1.000000
10.799005,0.000000,1.000000,1.000000
10.849001,0.000000,1.000000,1.000000
10.898996,0.000000,1.000000,1.000000
10.948991,0.000000,1.000000,1.000000
10.998987,0.000000,1.000000,1.000000
11.048982,0.000000,1.000000,1.000000
11.098978,0.000000,1.000000,1.000000
11.148973,0.000000,1.000000,1.000000
11.198968,0.000000,1.000000,1.000000
11.248964,0.000000,1.000000,1.000000
11.298959,0.000000,1.000000,1.000000
11.348955,0.000000,1.000000,1.000000
11.398950,0.000000,1.000000,1.000000
11.448945,0.000000,1.000000,1.000000
11.498941,0.000000,1.000000,1.000000
11.548936,0.000000,1.000000,1.000000
11.598932,0.000000,1.000000,1.000000
11.648927,0.000000,1.000000,1.000000
11.698922,0.000000,1.000000,1.000000
11.748918,0.000000,1.000000,1.000000
11.798913,0.000000,1.000000,1.000000
11.848908,0.000000,1.000000,1.000000
11.898904,0.000000,1.000000,1.000000
11.948899,0.000000,1.000000,1.000000
11.998895,0.000000,1.000000,1.000000
12.048890,0.000000,1.000000,1.000000
12.098885,0.000000,1.000000,1.000000
12.148881,0.000000,1.000000,1.000000
12.198876,0.000000,1.000000,1.000000
12.248872,0.000000,1.000000,1.000000
12.298867,0.000000,1.000000,1.000000
12.348862,0.000000,1.000000,1.000000
12.398858,0.000000,1.000000,1.000000
12.448853,0.000000,1.000000,1.000000
12.498849,0.000000,1.000000,1.000000
12.548844,0.000000,1.000000,1.000000
12.598839,0.000000,1.000000,1.000000
12.648835,0.000000,1.000000,1.000000
12.698830,0.000000,1.000000,1.000000
12.748826,0.000000,1.000000,1.000000
12.798821,0.000000,1.000000,1.000000
12.848816,0.000000,1.000000,1.000000
12.898812,0.000000,1.000000,1.000000
12.948807,0.000000,1.000000,1.000000
12.998803,0.000000,1.000000,1.000000
13.048798,0.000000,1.000000,1.000000
13.098793,0.000000,1.000000,1.000000
13.148789,0.000000,1.000000,1.000000
13.198784,0.000000,1.000000,1.000000
13.248780,0.000000,1.000000,1.000000
13.298775,0.000000,1.000000,1.000000
13.348770,0.000000,1.000000,1.000000
13.398766,0.000000,1.000000,1.000000
13.448761,0.000000,1.000000,1.000000
13.498757,0.000000,1.000000,1.000000
13.548752,0.000000,1.000000,1.000000
13.598747,0.000000,1.000000,1.000000
13.648743,0.000000,1.000000,1.000000
13.698738,0.000000,1.000000,1.000000
13.748733,0.000000,1.000000,1.000000
13.798729,0.000000,1.000000,1.000000
13.848724,0.000000,1.000000,1.000000
13.898720,0.000000,1.000000,1.000000
13.948715,0.000000,1.000000,1.000000
13.998710,0.000000,1.000000,1.000000
14.048706,0.000000,1.000000,1.000000
14.098701,0.000000,1.000000,1.000000
14.148697,0.000000,1.000000,1.000000
14.198692,0.000000,1.000000,1.000000
14.248687,0.000000,1.000000,1.000000
14.298683,0.000000,1.000000,1.000000
14.348678,0.000000,1.000000,1.000000
14.398674,0.000000,1.000000,1.000000
14.448669,0.000000,1.000000,1.000000
14.498664,0.000000,1.000000,1.000000
14.548660,0.000000,1.000000,1.000000
14.598655,0.000000,1.000000,1.000000
14.648651,0.000000,1.000000,1.000000
14.698646,0.000000,1.000000,1.000000
14.748641,0.000000,1.000000,1.000000
14.798637,0.000000,1.000000,1.000000
14.848632,0.000000,1.000000,1.000000
14.898628,0.000000,1.000000,1.000000
14.948623,0.000000,1.000000,1.000000
14.998618,0.000000,1.000000,1.000000
15.048614,0.000000,1.000000,1.000000
15.098609,0.000000,1.000000,1.000000
15.148605,0.000000,1.000000,1.000000
15.198600,0.000000,1.000000,1.000000
15.248595,0.000000,1.000000,1.000000
15.298591,0.000000,1.000000,1.000000
15.348586,0.000000,1.000000,1.000000
15.398581,0.000000,1.000000,1.000000
15.448577,0.000000,1.000000,1.000000
15.498572,0.000000,1.000000,1.000000
15.548568,0.000000,1.000000,1.000000
15.598563,0.000000,1.000000,1.000000
15.648558,0.000000,1.000000,1.000000
15.698554,0.000000,1.000000,1.000000
15.748549,0.000000,1.000000,1.000000
15.798545,0.000000,1.000000,1.000000
15.848540,0.000000,1.000000,1.000000
15.898535,0.000000,1.000000,1.000000
15.948531,0.000000,1.000000,1.000000
15.998526,0.000000,1.000000,1.000000
16.048522,0.000000,1.000000,1.000000
16.098517,0.000000,1.000000,1.000000
16.148512,0.000000,1.000000,1.000000
16.198508,0.000000,1.000000,1.000000
16.248503,0.000000,1.000000,1.000000
16.298499,0.000000,1.000000,1.000000
16.348494,0.000000,1.000000,1.000000
16.398489,0.000000,1.000000,1.000000
16.448485,0.000000,1.000000,1.000000
16.498480,0.000000,1.000000,1.000000
16.548476,0.000000,1.000000,1.000000
16.598471,0.000000,1.000000,1.000000
16.648466,0.000000,1.000000,1.000000
16.698462,0.000000,1.000000,1.000000
16.748457,0.000000,1.000000,1.000000
16.798453,0.000000,1.000000,1.000000
16.848448,0.000000,1.000000,1.000000
16.898443,0.000000,1.000000,1.000000
16.948439,0.000000,1.000000,1.000000
16.998434,0.000000,1.000000,1.000000
17.048430,0.000000,1.000000,1.000000
17.098425,0.000000,1.000000,1.000000
17.148420,0.000000,1.000000,1.000000
17.198416,0.000000,1.000000,1.000000
17.248411,0.000000,1.000000,1.000000
17.298406,0.000000,1.000000,1.000000
17.348402,0.000000,1.000000,1.000000
17.398397,0.000000,1.000000,1.000000
17.448393,0.000000,1.000000,1.000000
17.498388,0.000000,1.000000,1.000000
17.548383,0.000000,1.000000,1.000000
17.598379,0.000000,1.000000,1.000000
17.648374,0.000000,1.000000,1.000000
17.698370,0.000000,1.000000,1.000000
17.748365,0.000000,1.000000,1.000000
17.798360,0.000000,1.000000,1.000000
17.848356,0.000000,1.000000,1.000000
17.898351,0.000000,1.000000,1.000000
17.948347,0.000000,1.000000,1.000000
17.998342,0.000000,1.000000,1.000000
18.048337,0.000000,1.000000,1.000000
18.098333,0.000000,1.000000,1.000000
18.148328,0.000000,1.000000,1.000000
18.198324,0.000000,1.000000,1.000000
18.248319,0.000000,1.000000,1.000000
18.298314,0.000000,1.000000,1.000000
18.348310,0.000000,1.000000,1.000000
18.398305,0.000000,1.000000,1.000000
18.448301,0.000000,1.000000,1.000000
18.498296,0.000000,1.000000,1.000000
18.548291,0.000000,1.000000,1.000000
18.598287,0.000000,1.000000,1.000000
18.648282,0.000000,1.000000,1.000000
18.698278,0.000000,1.000000,1.000000
18.748273,0.000000,1.000000,1.000000
18.798268,0.000000,1.000000,1.000000
18.848264,0.000000,1.000000,1.000000
18.898259,0.000000,1.000000,1.000000
